Player,Rook_Age,Rook_FG_Percent,Rook_3P_Percent,Rook_FT_Percent,Rook_MPG,Rook_PPG,Rook_RPG,Rook_APG,-9999,Rook_Year,WS_Rk,WS,From,To,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG_Percent,2P_Percent,3P_Percent,FT_Percent,TS_Percent,eFG_Percent,Pos,Team,ORtg,DRtg,OWS,DWS,WS_Per_48,OBPM,DBPM,BPM,VORP,PER,ORB_Percent,DRB_Percent,TRB_Percent,AST_Percent,STL_Percent,BLK_Percent,TOV_Percent,USG_Percent
Peter John Ramos,19,0.5,0,0.5,3.3,1.8,0.7,0,ramospe01,2005,1750,0,2004-05,2004-05,19-19,6,0,3.3,0.8,1.7,0.8,1.7,0,0,0.2,0.3,0.2,0.5,0.7,0,0,0.2,0.5,0.7,1.8,0.5,0.5,,0.5,0.506,0.5,C,WAS,80,109,-0.1,0,-0.108,-7.7,-2.3,-10,0,8.2,5.4,17.5,11.2,0,0,3.7,21.6,30.3
Justin Reed,23,0.517,0,0.733,5.3,1.8,0.7,0.4,reedju01,2005,1272,0.5,2004-05,2006-07,23-25,136,9,10.6,1.3,3.2,1.3,3.1,0,0,0.9,1.2,0.6,0.8,1.4,0.5,0.2,0.1,0.6,1.6,3.5,0.404,0.407,0,0.752,0.469,0.404,F,BOSMIN,94,109,-0.6,1,0.016,-4.7,-1.3,-5.9,-1.4,8,6.5,9,7.8,7.7,1.2,1,13.6,19
Jared Reiner,22,0.333,0,0.25,6.9,1.1,2,0.1,reineja01,2005,1889,-0.2,2004-05,2006-07,22-24,46,4,8.2,0.5,1.6,0.5,1.6,0,0,0.1,0.3,0.7,1.6,2.4,0.3,0.2,0.3,0.5,1.7,1.2,0.342,0.342,,0.286,0.341,0.342,C,CHIMIL,76,104,-0.7,0.5,-0.022,-7.6,-0.5,-8,-0.6,3.9,10.4,23.2,16.8,5.2,1.1,2.6,22.5,12.2
Bernard Robinson,24,0.444,0.375,0.692,10.6,3,1.5,1,robinbe01,2005,1025,2,2004-05,2006-07,24-26,128,19,14.9,1.7,4,1.6,3.7,0,0.2,1.1,1.5,0.7,1.8,2.5,1,0.9,0.1,0.9,1.7,4.5,0.417,0.434,0.161,0.786,0.488,0.422,G-F,CHANJN,97,105,-0.2,2.2,0.049,-3.2,1.2,-2,0,11,4.9,14.8,9.6,10.4,2.9,0.6,15.7,16.3
Quinton Ross,23,0.432,0.25,0.673,21.3,5.1,2.7,1.4,rossqu01,2005,668,7.7,2004-05,2010-11,23-29,458,169,18.5,1.7,4,1.6,3.6,0.1,0.3,0.6,0.9,0.6,1.5,2.1,0.9,0.6,0.3,0.5,1.9,4.1,0.419,0.428,0.318,0.711,0.466,0.432,G,DALLACMEMNJNWAS,99,109,0.7,7,0.043,-3.5,0.6,-2.9,-2,7.8,3.8,9.4,6.6,8,1.6,1.2,9.8,12.1
Ha Seung-Jin,19,0.435,0,0.545,5.5,1.4,0.9,0.1,seungha01,2005,1902,-0.2,2004-05,2005-06,19-20,46,4,6.9,0.6,1.2,0.6,1.2,0,0,0.3,0.6,0.4,1,1.5,0.1,0.1,0.3,0.6,1.3,1.5,0.519,0.519,,0.5,0.528,0.519,C,POR,84,110,-0.4,0.2,-0.029,-7.8,-1,-8.8,-0.5,5.4,7.5,17.7,12.6,1.5,0.7,3.1,28.2,13.7
Donta Smith,21,0.389,0.273,0.688,11.4,3.3,1.4,1,smithdo04,2005,1263,0.5,2004-05,2005-06,21-22,61,0,9.2,1,2.3,0.8,1.9,0.1,0.4,0.6,1,0.4,0.7,1.1,0.8,0.5,0.1,0.5,1.1,2.7,0.421,0.447,0.308,0.65,0.496,0.45,G-F,ATL,101,110,0.2,0.3,0.043,-3.2,0.1,-3.2,-0.2,11.1,4.4,9.7,6.9,13.5,2.9,0.7,14.8,15.7
J.R. Smith,19,0.394,0.288,0.689,24.5,10.3,2,1.9,smithjr01,2005,132,46.3,2004-05,2019-20,19-34,977,395,26.9,4.5,10.7,2.5,5.4,2,5.3,1.5,2,0.5,2.6,3.1,2.1,1,0.2,1.3,2.2,12.4,0.419,0.463,0.373,0.733,0.536,0.511,G-F,CLEDENLALNOHNOKNYK,106,109,24.3,22,0.084,0.5,-0.3,0.2,14.7,13.9,2.2,11.3,6.7,13.1,1.9,0.6,10.4,21.7
Josh Smith,19,0.455,0.174,0.688,27.7,9.7,6.2,1.7,smithjo03,2005,112,51,2004-05,2017-18,19-32,894,772,32.4,5.7,12.6,5.2,10.8,0.5,1.8,2.6,4.2,1.9,5.5,7.4,3.1,1.2,1.9,2.5,2.8,14.5,0.452,0.48,0.285,0.632,0.504,0.472,F,ATLDETHOULACNOP,100,103,8.7,42.3,0.084,0.2,1.5,1.7,27.2,17.4,6.8,20,13.3,16.5,2,4.5,14.6,23.7
Kirk Snyder,21,0.372,0.353,0.667,13.3,5,1.8,0.5,snydeki01,2005,835,4.5,2004-05,2007-08,21-24,211,71,16.8,2.3,5.3,1.9,4,0.4,1.3,1.2,1.8,0.7,1.6,2.3,1.1,0.4,0.3,1,1.6,6.3,0.438,0.475,0.327,0.699,0.52,0.479,G,HOUMINNOKUTA,102,109,1.8,2.7,0.061,-0.7,-0.6,-1.2,0.7,12.4,5,11.6,8.2,11.5,1.3,1.6,13.8,19.4
Pape Sow,23,0.397,0,0.593,9.4,2.3,2.1,0.1,sowpa01,2005,1194,0.8,2004-05,2006-07,23-25,76,29,11.6,1,2.5,1,2.5,0,0,0.8,1.2,1,1.8,2.8,0.2,0.4,0.3,0.5,2.2,2.9,0.416,0.416,,0.678,0.477,0.416,F,TOR,99,108,0.1,0.7,0.044,-4.9,-0.8,-5.7,-0.8,9.3,10.3,19.2,14.6,2.1,2,2.1,15.2,14.2
Awvee Storey,27,0.3,0.5,0.5,3.6,0.9,0.6,0.1,storeaw01,2005,1362,0.3,2004-05,2007-08,27-30,60,1,6.8,1,2.3,0.9,2.1,0.1,0.3,0.4,0.8,0.7,0.6,1.4,0.4,0.2,0,0.3,1.1,2.4,0.414,0.435,0.25,0.511,0.447,0.429,G-F,MILNJNWAS,101,112,0.1,0.2,0.033,-3.2,-2.4,-5.6,-0.4,10.5,12,11.4,11.7,8.4,1.3,0.4,8.6,19.3
Robert Swift,19,0.455,0,0.556,4.5,0.9,0.3,0.1,swiftro01,2005,1054,1.7,2004-05,2008-09,19-23,97,34,15.5,1.8,3.5,1.8,3.5,0,0,0.7,1.2,1.3,2.6,3.9,0.2,0.3,0.9,0.7,2.3,4.3,0.506,0.506,,0.61,0.531,0.506,C,OKCSEA,104,110,0.8,0.9,0.054,-3.2,-0.6,-3.8,-0.7,11.4,9.6,20.4,14.9,2,0.9,4.4,15.3,13.8
Yuta Tabuse,24,0.167,1,1,4.3,1.8,1,0.8,tabusyu01,2005,1557,0,2004-05,2004-05,24-24,4,0,4.3,0.3,1.5,0,1.3,0.3,0.3,1,1,0.5,0.5,1,0.8,0,0,0.3,0.3,1.8,0.167,0,1,1,0.451,0.25,G,PHO,114,112,0,0,0.129,2,-1.9,0.1,0,15.6,13.2,12,12.6,22.4,0,0,11.4,22.5
Sebastian Telfair,19,0.393,0.246,0.789,19.6,6.8,1.5,3.3,telfase01,2005,796,5,2004-05,2014-15,19-29,564,193,21.5,2.7,7,2.1,5,0.6,2,1.3,1.7,0.3,1.3,1.6,3.5,0.7,0.1,1.5,2.1,7.4,0.39,0.419,0.319,0.777,0.478,0.436,G,BOSCLELACMINOKCPHOPORTOR,98,112,0,5,0.02,-2.2,-1.2,-3.4,-4.2,10.8,1.4,7.2,4.3,25.8,1.8,0.5,16.4,19.5
Billy Thomas,29,0.362,0.304,0.778,14.2,3.7,1.4,0.7,thomabi01,2005,1297,0.4,2004-05,2007-08,29-32,53,0,10,1,2.8,0.4,0.9,0.6,1.9,0.2,0.2,0.2,0.8,1,0.5,0.5,0,0.4,1,2.7,0.338,0.408,0.304,0.846,0.459,0.44,G,CLENJNWAS,94,105,-0.2,0.6,0.039,-3.4,0.2,-3.2,-0.2,7.8,2.6,9.2,5.8,8,2.5,0.3,10.8,15.3
James Thomas,24,0.6,0,0.333,10.6,2.4,3.4,0.4,thomaja02,2005,1316,0.4,2004-05,2005-06,24-25,33,2,8.1,0.7,1.2,0.7,1.2,0,0,0.3,0.6,0.9,1.4,2.3,0.2,0.1,0.2,0.4,1.5,1.6,0.564,0.564,,0.5,0.565,0.564,F,ATLCHIPHIPOR,105,107,0.1,0.3,0.07,-4,-0.8,-4.8,-0.2,9.1,12.8,20.1,16.5,2.9,0.8,1.9,22.7,10.6
Beno Udrih,22,0.444,0.408,0.753,14.4,5.9,1,1.9,udrihbe01,2005,231,31.4,2004-05,2016-17,22-34,831,272,21.9,3.3,7.1,2.7,5.5,0.6,1.6,1.2,1.5,0.4,1.7,2.1,3.4,0.7,0.1,1.4,1.5,8.4,0.463,0.496,0.349,0.833,0.539,0.502,G,DETMEMMIAMILNYKORLSACSAS,107,110,19.4,12.1,0.083,-0.3,-0.6,-0.9,4.9,14,1.9,8.9,5.4,25.1,1.6,0.3,15.4,18.9
Anderson Varej?o,22,0.513,0,0.535,16,4.9,4.8,0.5,varejan01,2005,131,46.4,2004-05,2020-21,22-38,632,209,23.9,2.9,5.6,2.9,5.5,0,0.1,1.5,2.4,2.4,4.8,7.2,1.2,0.8,0.6,0.9,2.6,7.2,0.509,0.515,0.023,0.63,0.542,0.509,F-C,CLEGSW,114,102,22.1,24.3,0.148,-0.6,0.9,0.3,8.8,15.6,11.5,23.3,17.4,7.7,1.9,2.1,12.3,14.5
Jackson Vroman,23,0.412,0,0.64,15.3,4.6,3.8,0.9,vromaja01,2005,1592,0,2004-05,2005-06,23-24,87,20,12.8,1.2,3,1.2,3,0,0,0.8,1.4,1.1,1.9,3,0.6,0.4,0.3,1,2.1,3.3,0.408,0.412,0,0.58,0.449,0.408,F-C,NOHNOKPHO,87,105,-1.3,1.3,0.001,-5.4,0.3,-5.1,-0.9,8.2,10,18,13.9,7.6,1.8,2.2,21.1,16.8
Sasha Vuja?i?,20,0.282,0.27,0.947,11.5,2.9,1.8,1.5,vujacsa01,2005,451,16,2004-05,2016-17,20-32,581,58,15.3,1.9,4.7,0.9,2.2,0.9,2.5,0.7,0.8,0.4,1.5,1.9,1.3,0.6,0.1,0.6,1.5,5.3,0.39,0.415,0.367,0.858,0.521,0.487,G,LACLALNJNNYK,108,108,8.1,7.9,0.086,-1.1,0.2,-1,2.3,11.5,2.6,11.3,7,12.8,1.9,0.3,10,16.6
Delonte West,21,0.426,0.358,0.704,13,4.5,1.7,1.4,westde01,2005,315,24.5,2004-05,2011-12,21-28,432,258,27.4,3.7,8.3,2.8,5.9,0.9,2.3,1.4,1.7,0.5,2.4,2.9,3.6,1.1,0.4,1.6,1.9,9.7,0.448,0.479,0.372,0.826,0.538,0.501,G,BOSCLEDALSEA,107,106,10.9,13.6,0.099,0,0.9,0.9,8.7,13.9,2.2,10.3,6.3,21.1,2.1,1.2,15.2,17.9
Damien Wilkins,25,0.435,0.271,0.618,17.9,6.3,2.3,0.9,wilkida02,2005,544,12.1,2004-05,2017-18,25-38,582,150,18.9,2.3,5.4,2,4.3,0.4,1.1,1.2,1.6,0.8,1.6,2.3,1.4,0.7,0.2,0.9,1.6,6.2,0.426,0.45,0.327,0.783,0.507,0.458,F-G,ATLDETINDMINOKCPHISEA,103,111,5.8,6.3,0.053,-1.8,-0.1,-1.9,0.1,11.5,4.6,9.8,7.2,11.2,2,0.9,12.8,16.6
Dorell Wright,19,0.273,0,1,9,2.3,0.3,1,wrighdo01,2005,294,25.9,2004-05,2014-15,19-29,549,222,22.4,3,7.1,1.9,4,1.1,3.1,1.2,1.5,0.7,3.1,3.8,1.5,0.8,0.5,0.9,1.4,8.4,0.424,0.469,0.365,0.806,0.538,0.503,F-G,GSWMIAPHIPOR,109,107,13.7,12.1,0.101,0.6,0.3,0.9,9.1,14.4,3.5,16,9.7,10.8,1.8,1.7,10,17.6
Alex Acker,23,0.25,0.2,0,7,1.8,1,0.8,ackeral01,2006,1913,-0.2,2005-06,2008-09,23-26,30,0,7.8,1.1,3.1,0.9,2.2,0.3,0.8,0.2,0.3,0.3,0.7,1,0.5,0.2,0.1,0.4,0.4,2.7,0.37,0.388,0.32,0.5,0.42,0.413,G,DETLAC,88,112,-0.3,0.1,-0.043,-3.2,-2.1,-5.3,-0.2,8.5,4.3,10.2,7.2,11.3,1.4,1.3,10.2,21.2
Alan Anderson,23,0.414,0.414,0.805,15.7,5.8,1.9,0.9,anderal01,2006,681,7.4,2005-06,2016-17,23-34,330,66,20.6,2.6,6.3,1.6,3.4,1,2.9,1.2,1.5,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3,0.405,0.457,0.344,0.816,0.526,0.484,G-F,BRKCHALACTORWAS,103,110,3.7,3.7,0.052,-1.7,-0.9,-2.5,-0.9,10.3,2.6,9.7,6.1,8.8,1.4,0.4,11.2,17.6
Martynas Andriu?kevi?ius,19,0,0,0,1.5,0,0.7,0,andrima01,2006,1593,0,2005-06,2005-06,19-19,6,0,1.5,0,0.2,0,0.2,0,0,0,0,0.2,0.5,0.7,0,0.3,0,0,0.2,0,0,0,,,0,0,C,CLE,64,78,0,0,0.155,-1.8,7,5.2,0,15.5,13,39.8,26.3,0,11.9,0,0,5.1
Earl Barron,24,0.313,0,0.75,5.6,1.6,1.3,0,barroea01,2006,1988,-0.6,2005-06,2014-15,24-33,140,31,14.2,1.8,4.9,1.8,4.8,0,0.1,0.9,1.3,1.3,2.2,3.5,0.5,0.3,0.2,0.8,1.9,4.6,0.371,0.377,0.167,0.702,0.417,0.373,C,GSWMIAMILNYKPHOPORWAS,89,108,-2.4,1.7,-0.015,-5.4,-2.2,-7.6,-2.8,8.6,10.9,18.1,14.5,5.3,1.2,1.2,12.2,20.5
Eddie Basden,22,0.405,0.143,0.8,7.4,2.1,1.5,0.4,basdeed01,2006,1431,0.2,2005-06,2005-06,22-22,19,0,7.4,0.8,1.9,0.7,1.6,0.1,0.4,0.4,0.5,0.4,1.1,1.5,0.4,0.5,0.1,0.5,0.9,2.1,0.405,0.467,0.143,0.8,0.471,0.419,G,CHI,92,99,-0.1,0.3,0.065,-3.9,3.2,-0.6,0,10.3,5.7,17,11.4,8.8,3.3,1.1,17.9,16.1
Brandon Bass,20,0.4,0,0.632,9.2,2.3,2.3,0.1,bassbr01,2006,153,42.8,2005-06,2016-17,20-31,758,283,21.6,3.4,6.8,3.4,6.7,0,0.1,1.9,2.3,1.5,3,4.5,0.8,0.4,0.6,0.9,1.8,8.7,0.499,0.502,0.207,0.832,0.558,0.5,F,BOSDALLACLALNOKORL,111,106,23.9,18.9,0.125,-0.6,-0.2,-0.8,5.1,15.3,8,16,12,6.1,0.9,2.2,10.9,18.4
Esteban Batista,22,0.425,0,0.623,8.7,1.8,2.5,0.1,batises01,2006,1357,0.3,2005-06,2006-07,22-23,70,3,8.2,0.6,1.4,0.6,1.4,0,0,0.5,0.9,1,1.5,2.5,0.2,0.3,0.2,0.6,1.8,1.7,0.438,0.442,0,0.617,0.494,0.438,F-C,ATL,94,108,-0.2,0.5,0.024,-5.6,-1.5,-7.1,-0.7,7.9,13.8,22.7,18.2,2.9,1.7,1.5,25.5,13
Andray Blatche,19,0.388,0.231,0.833,6,2.2,1.3,0.3,blatcan01,2006,394,19.2,2005-06,2013-14,19-27,564,191,22.1,4.1,8.8,4,8.4,0.1,0.4,1.8,2.4,1.8,3.5,5.4,1.4,0.9,0.8,1.6,2.5,10.1,0.467,0.478,0.237,0.725,0.511,0.472,F,BRKWAS,101,106,5.2,14,0.074,-0.8,0,-0.8,3.8,16.8,9.6,18.9,14.1,11.3,2.1,2.9,14.1,23.7
Andrew Bogut,21,0.533,0,0.629,28.6,9.4,7,2.3,bogutan01,2006,114,50.6,2005-06,2018-19,21-34,706,661,28.1,4.2,7.9,4.2,7.9,0,0,1.2,2.1,2.5,6.2,8.7,2.2,0.6,1.5,1.7,3.1,9.6,0.535,0.537,0.12,0.557,0.545,0.535,C,CLEDALGSWLALMIL,107,102,19.2,31.4,0.122,-0.5,1.7,1.2,16,16.4,10,25.3,17.5,12.2,1.1,4.3,16.2,16.9
Kevin Burleson,26,0.25,0.185,0.941,8.7,1.8,0.7,1.2,burleke01,2006,1919,-0.2,2005-06,2005-06,26-26,39,1,8.7,0.6,2.3,0.3,0.9,0.3,1.4,0.4,0.4,0.1,0.6,0.7,1.2,0.7,0.1,0.6,1.6,1.8,0.25,0.353,0.185,0.941,0.367,0.307,G,CHA,79,105,-0.6,0.4,-0.032,-7.8,1.6,-6.2,-0.4,5.1,1.3,8,4.4,20.8,3.9,0.5,20.8,15.7
Andrew Bynum,18,0.402,0,0.296,7.3,1.6,1.7,0.2,bynuman01,2006,195,37.4,2005-06,2013-14,18-26,418,319,25.6,4.6,8.2,4.6,8.2,0,0,2.4,3.4,2.4,5.3,7.7,1.2,0.3,1.6,1.5,2.5,11.5,0.556,0.557,0.111,0.69,0.592,0.556,C,CLEINDLAL,114,103,20.9,16.4,0.168,0.9,0.5,1.4,9.1,19.6,10.9,22.9,17,7.5,0.6,4.6,13.6,19.9
Will Bynum,23,0.404,0.222,0.625,10.8,3.6,0.8,1.3,bynumwi01,2006,699,7,2005-06,2014-15,23-32,360,29,18.4,3.1,7,2.9,6.2,0.2,0.9,1.7,2.1,0.3,1.2,1.6,3.3,0.7,0.1,1.6,1.9,8.1,0.442,0.465,0.272,0.799,0.51,0.458,G,DETGSWWAS,102,111,3.7,3.3,0.051,-0.9,-1.2,-2.1,-0.1,14.6,2.1,8.1,5,30.5,2.1,0.4,16.8,23.8
Jos? Calder?n,24,0.423,0.163,0.848,23.2,5.5,2.2,4.5,caldejo01,2006,88,58.3,2005-06,2018-19,24-37,895,591,26.4,3.4,7.2,2.4,4.7,1,2.5,1,1.2,0.3,2.1,2.4,5.8,0.8,0.1,1.5,1.6,8.9,0.472,0.507,0.407,0.873,0.573,0.543,G,ATLCLEDALDETLALNYKTOR,117,112,47.4,10.9,0.118,1.7,-0.7,1,17.7,15.8,1.5,9.1,5.3,33.9,1.6,0.2,16.2,16
Travis Diener,23,0.42,0.439,0.833,10.7,3.8,0.9,0.7,dienetr01,2006,763,5.6,2005-06,2009-10,23-27,179,21,14.9,1.7,4.3,0.7,1.7,0.9,2.6,0.5,0.6,0.2,1.1,1.4,2.4,0.4,0.1,0.6,1.1,4.8,0.388,0.442,0.353,0.847,0.523,0.495,G,INDORLPOR,114,111,3.9,1.8,0.102,0.1,-0.5,-0.4,1.1,12.5,1.6,8.6,5.1,24.2,1.4,0.3,10.8,15.2
Ike Diogu,22,0.524,0,0.81,14.9,7,3.3,0.4,dioguik01,2006,715,6.5,2005-06,2011-12,22-28,225,18,12.4,2.2,4.3,2.2,4.2,0,0,1.6,2.1,1.2,1.8,3.1,0.3,0.2,0.3,0.9,1.9,6,0.509,0.509,0.5,0.786,0.578,0.51,F,GSWINDLACPORSACSAS,110,108,4.1,2.4,0.112,-1.7,-1.4,-3,-0.7,15.6,11,17.1,14,4.3,0.7,1.7,14.6,21.7
Monta Ellis,20,0.415,0.341,0.712,18.1,6.8,2.1,1.6,ellismo01,2006,163,41.9,2005-06,2016-17,20-31,833,713,34.8,6.9,15.2,6,12.4,0.9,2.8,3.2,4.2,0.6,2.8,3.5,4.6,1.7,0.3,2.7,2.3,17.8,0.451,0.482,0.314,0.772,0.523,0.48,G,DALGSWINDMIL,103,109,19.9,22.1,0.069,0,-0.3,-0.3,12.4,16,1.9,9.1,5.5,21.6,2.4,0.8,13.6,24.9
Daniel Ewing,22,0.38,0.282,0.783,14.7,3.8,1.3,1.3,ewingda01,2006,1184,0.8,2005-06,2006-07,22-23,127,8,13.3,1.3,3.3,1,2.3,0.3,1,0.6,0.7,0.3,1,1.2,1.4,0.5,0.1,0.8,1.2,3.4,0.389,0.429,0.295,0.78,0.473,0.433,G,LAC,92,106,-1,1.8,0.024,-3.6,0.6,-3,-0.4,8.3,2.3,8.6,5.5,16,2.2,0.5,19,15.5
Noel Felix,24,0.24,0.333,0.625,6.8,1.5,1.1,0.2,felixno01,2006,1953,-0.3,2005-06,2005-06,24-24,12,0,6.8,0.5,2.1,0.4,1.8,0.1,0.3,0.4,0.7,0.3,0.8,1.1,0.2,0.2,0.3,0.7,1.1,1.5,0.24,0.227,0.333,0.625,0.316,0.26,F,SEA,62,114,-0.3,0,-0.197,-10,-2.5,-12.5,-0.2,-1.1,4.4,14.9,9.6,3.5,1.3,2.8,21.9,20
Raymond Felton,21,0.391,0.358,0.725,30.1,11.9,3.3,5.6,feltora01,2006,170,40.2,2005-06,2018-19,21-34,971,659,29.7,4.2,10.3,3.3,7.4,1,2.9,1.8,2.2,0.6,2.4,3,5.2,1.2,0.2,2.1,1.9,11.2,0.412,0.445,0.329,0.79,0.497,0.459,G,CHADALDENLACNYKOKCPOR,103,109,16.2,23.9,0.067,-0.2,-0.4,-0.6,10.1,13.8,2.2,9.4,5.8,28.9,2.1,0.6,15.5,20.4
Gerald Fitch,23,0.337,0.269,0.739,13.3,4.7,1.7,1.8,fitchge01,2006,1472,0.1,2005-06,2005-06,23-23,18,1,13.3,1.7,4.9,1.3,3.5,0.4,1.4,0.9,1.3,0.4,1.3,1.7,1.8,0.4,0.3,0.8,1.6,4.7,0.337,0.365,0.269,0.739,0.424,0.376,G,MIA,93,105,-0.1,0.3,0.026,-3.2,-0.3,-3.5,-0.1,10.2,3.6,10.9,7.4,21.5,1.5,1.6,13.1,22
Sharrod Ford,24,0.667,0,0,4.3,1.3,1,0,fordsh02,2006,1679,0,2005-06,2005-06,24-24,3,0,4.3,0.7,1,0.7,1,0,0,0,0,0.3,0.7,1,0,0,0.3,0.7,2.3,1.3,0.667,0.667,,,0.667,0.667,F,PHO,78,104,0,0,-0.032,-16.2,1.2,-14.9,0,0.6,8.7,16.7,12.8,0,0,5.4,40,17.2
Channing Frye,22,0.477,0.333,0.825,24.2,12.3,5.8,0.8,fryech01,2006,181,38.9,2005-06,2018-19,22-35,890,445,22.2,3.3,7.5,2.1,4.4,1.2,3,1,1.2,0.9,3.6,4.5,1,0.5,0.6,0.9,2.5,8.7,0.44,0.477,0.388,0.822,0.547,0.519,C-F,CLELALNYKORLPHOPOR,109,108,20.7,18.2,0.094,-0.4,0,-0.4,8,13.3,4.5,18.6,11.6,6.8,1.2,2.1,9.9,18
Deng Gai,23,0,0,0,2.5,0,0,0,gaide01,2006,1664,0,2005-06,2005-06,23-23,2,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,F,PHI,,117,0,0,-0.015,-3.6,-3.5,-7.2,0,0,0,0,0,0,0,0,,0
Francisco Garc?a,24,0.4,0.285,0.772,19.4,5.6,2.8,1.4,garcifr01,2006,412,18.2,2005-06,2014-15,24-33,549,137,21.6,2.8,6.7,1.8,3.7,1.1,3,1.1,1.4,0.5,2,2.6,1.4,0.8,0.7,1,2.2,7.9,0.427,0.484,0.357,0.799,0.541,0.507,F-G,HOUSAC,106,109,9.1,9.1,0.074,-0.5,0.4,-0.1,5.7,12.3,2.7,11,6.8,10,1.9,2.4,12,17
Ryan Gomes,23,0.487,0.333,0.752,22.6,7.6,4.9,1,gomesry01,2006,389,19.4,2005-06,2013-14,23-31,487,371,27.6,3.9,8.7,3.2,6.8,0.7,2,1.7,2.1,1.3,3.3,4.6,1.5,0.7,0.2,1.1,1.9,10.1,0.445,0.473,0.349,0.799,0.525,0.484,F,BOSLACMINOKC,107,111,11.5,7.9,0.069,-0.7,-0.9,-1.6,1.4,12.5,5.3,14.3,9.7,8.6,1.4,0.4,10.5,17.5
Joey Graham,23,0.478,0.333,0.812,19.8,6.7,3.1,0.8,grahajo01,2006,662,7.8,2005-06,2010-11,23-28,377,84,16.2,2.3,4.7,2.1,4.2,0.1,0.5,1.2,1.5,0.7,2.1,2.8,0.5,0.4,0.1,0.8,2.1,5.9,0.483,0.503,0.3,0.815,0.551,0.498,F,CLEDENTOR,105,111,4.1,3.7,0.061,-2.7,-0.8,-3.6,-2.4,11,5.2,15.4,10.2,5.4,1.1,0.5,13.2,17.6
Stephen Graham,23,0.389,0.2,0.933,8,2.6,1.2,0.3,grahast01,2006,1053,1.7,2005-06,2010-11,23-28,239,43,12.2,1.6,3.5,1.4,2.8,0.2,0.7,0.7,0.9,0.3,1.5,1.8,0.5,0.2,0.1,0.6,1.5,4,0.446,0.481,0.308,0.766,0.515,0.477,G,CHACHICLEHOUINDNJNPOR,97,109,-0.7,2.4,0.028,-4,-0.6,-4.6,-1.9,8.2,3.1,14,8.5,6.5,1,0.5,14.2,17
Danny Granger,22,0.462,0.323,0.777,22.6,7.5,4.9,1.2,grangda01,2006,121,48.5,2005-06,2014-15,22-31,586,431,31.5,5.7,13.1,4,8.6,1.7,4.5,3.7,4.4,1.2,3.8,4.9,1.9,1,0.8,1.9,2.8,16.8,0.434,0.463,0.38,0.848,0.56,0.5,F,INDLACMIA,109,106,27.5,20.9,0.126,1.8,0,1.8,17.7,16.9,4.1,13.4,8.7,10.3,1.5,1.9,11.1,23.8
Devin Green,23,0.214,0,0.619,5,0.9,0.9,0.3,greende01,2006,1764,-0.1,2005-06,2005-06,23-23,27,0,5,0.2,1,0.2,1,0,0.1,0.5,0.8,0.4,0.5,0.9,0.3,0.1,0,0.2,0.5,0.9,0.214,0.231,0,0.619,0.336,0.214,G,LAL,85,109,-0.2,0.1,-0.018,-5.1,-1.5,-6.5,-0.2,4.7,8.7,12.2,10.5,7.3,1.2,0,11.8,14.3
Gerald Green,20,0.478,0.3,0.784,11.7,5.2,1.3,0.6,greenge01,2006,410,18.4,2005-06,2018-19,20-33,658,118,19.8,3.5,8.4,2.1,4.4,1.5,4.1,1.3,1.5,0.5,2,2.5,0.9,0.5,0.3,1.1,1.9,9.7,0.417,0.469,0.361,0.818,0.535,0.504,G-F,BOSDALHOUINDMIAMINNJNPHO,103,109,7.6,10.7,0.068,-0.2,-1.1,-1.3,2.4,13,2.8,11.5,7.1,7.7,1.3,1.2,10.7,23
Orien Greene,23,0.395,0.225,0.662,15.4,3.2,1.8,1.6,greenor01,2006,1993,-0.7,2005-06,2010-11,23-28,131,7,11.9,1,2.5,0.9,2.1,0.1,0.4,0.5,0.7,0.4,1.1,1.5,1.2,0.7,0.1,1.1,1.7,2.5,0.387,0.42,0.212,0.642,0.441,0.404,G,BOSINDNJNSAC,80,105,-2.6,1.9,-0.022,-6.1,1.4,-4.6,-1,6.1,3.8,11.1,7.5,15.2,3.3,0.7,28,15.1
Anthony Grundy,26,0.5,0.333,0.643,9,4.3,1.4,0.8,grundan01,2006,1413,0.2,2005-06,2005-06,26-26,12,0,9,1.6,3.2,1.2,1.9,0.4,1.3,0.8,1.2,0.1,1.3,1.4,0.8,0.6,0,0.8,1.2,4.3,0.5,0.609,0.333,0.643,0.589,0.566,G,ATL,106,107,0.1,0.1,0.095,-1.3,0.9,-0.4,0,16.6,1.1,18.3,9.5,14.7,3.4,0,16.9,22.4
Chuck Hayes,22,0.562,0,0.644,13.4,3.7,4.5,0.4,hayesch01,2006,260,28.8,2005-06,2015-16,22-32,644,244,18.3,1.6,3.3,1.6,3.2,0,0,0.5,0.8,1.7,3.3,5,1.2,0.7,0.4,0.7,2.3,3.7,0.498,0.501,0,0.62,0.518,0.498,F-C,HOUSACTOR,112,103,11.5,17.3,0.117,-1.9,1.7,-0.3,5.2,12.2,10.8,20.6,15.7,9.7,2.1,1.5,16.5,10.6
